time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-22 00:00:00+00:00,13,8,,
2024-02-23 00:00:00+00:00,9,6,,
2024-02-24 00:00:00+00:00,4,4,,
2024-02-25 00:00:00+00:00,4,4,,
2024-02-26 00:00:00+00:00,26,15,,
2024-02-27 00:00:00+00:00,9,6,,
2024-02-28 00:00:00+00:00,5,4,,
2024-02-29 00:00:00+00:00,10,7,,
2024-03-01 00:00:00+00:00,13,8,,
2024-03-02 00:00:00+00:00,4,4,,
2024-03-03 00:00:00+00:00,3,3,,
2024-03-04 00:00:00+00:00,14,9,,
2024-03-05 00:00:00+00:00,9,7,,
2024-03-06 00:00:00+00:00,2,1,,
